Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por persona;2018;10.233
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por persona;2017;9.738
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por persona;2016;9.238
Total Nacional;Canarias;Santa Cruz de Tenerife;;Renta neta media por persona;2015;9.073
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Renta neta media por persona;2023;13.983
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Renta neta media por persona;2022;12.401
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Renta neta media por persona;2021;11.543
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Renta neta media por persona;2020;10.874
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Renta neta media por persona;2019;11.169
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Renta neta media por persona;2018;10.636
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Renta neta media por persona;2017;10.014
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Renta neta media por persona;2016;9.494
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Renta neta media por persona;2015;9.456
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Renta neta media por persona;2023;13.397
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Renta neta media por persona;2022;12.125
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Renta neta media por persona;2021;11.630
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Renta neta media por persona;2020;11.234
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Renta neta media por persona;2019;11.012
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Renta neta media por persona;2018;10.377
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Renta neta media por persona;2017;9.866
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Renta neta media por persona;2016;9.397
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Renta neta media por persona;2015;9.207
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Renta neta media por persona;2023;14.093
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Renta neta media por persona;2022;12.938
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Renta neta media por persona;2021;11.046
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Renta neta media por persona;2020;10.586
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Renta neta media por persona;2019;10.316
