CPRO,CMUN,NOMBRE,Poblacion,PROVINCIA,num_bancos,alquiler_m2,renta_media,pop_score,renta_norm,renta_score,alquiler_norm,alquiler_score,competition_score,score_total,dist_m,dist_km,dist_score,score_with_distance
46,186,Paiporta,27748,Valencia/València,0.0,13.5,14.435,0.6123435159804448,0.4382482194271861,0.5617517805728138,0.3454545454545454,0.6545454545454545,1.0,0.6195105438892412,933.1444261488416,0.9331444261488416,0.910907027271266,0.6507315956801722
13,052,Malagón,7754,Ciudad Real,0.0,7.8,12.529,0.0473337666374657,0.1494165782694348,0.8505834217305651,0.0,1.0,1.0,0.6945959814381208,12598.974613573466,12.598974613573466,0.2836831134898755,0.65056960272938
20,902,Lasarte-Oria,19312,Gipuzkoa,0.0,,,0.3739508859185577,0.3767237460221246,0.6232762539778753,0.2424242424242425,0.7575757575757576,1.0,0.6133559751636228,480.94927033875217,0.4809492703387522,0.9530433132084872,0.6497510470970009
41,060,Marchena,19382,Sevilla,0.0,12.9,12.964,0.3759290134795264,0.2153356569177149,0.784664343082285,0.3090909090909091,0.6909090909090909,1.0,0.6698084804841826,7482.159601139953,7.482159601139953,0.4732100256828878,0.648744360326901
45,041,Casarrubios del Monte,7098,Toledo,0.0,9.8,12.422,0.0287958854946731,0.1332020003030764,0.8667979996969236,0.1212121212121212,0.8787878787878787,1.0,0.6669550409342537,7031.529113035318,7.031529113035318,0.4950220800218451,0.6485336522650669
30,001,Abanilla,6206,Murcia,0.0,9.3,12.446,0.0035888885749003,0.1368389149871193,0.8631610850128807,0.0909090909090909,0.9090909090909092,1.0,0.6665924376722487,7014.463635966712,7.014463635966712,0.4958675800552272,0.6483004886418534
16,190,San Clemente,6812,Cuenca,0.0,8.1,12.725,0.0207138214598581,0.1791180481891196,0.8208819518108804,0.0181818181818181,0.9818181818181818,1.0,0.6700298791344063,8182.485163815188,8.182485163815187,0.4412037392834703,0.6455127927218058
10,180,Talayuela,7304,Cáceres,0.0,7.8,12.771,0.0346172323169525,0.1860888013335356,0.8139111986664644,0.0,1.0,1.0,0.6749143474791472,9330.273655072602,9.330273655072602,0.393361058285836,0.6447479236370066
03,105,"Pinós, el/Pinoso",8407,Alicante/Alacant,0.0,11.8,12.313,0.0657868708847882,0.1166843461130476,0.8833156538869523,0.2424242424242425,0.7575757575757576,1.0,0.653332701364265,5639.057465308832,5.639057465308832,0.5689824172185513,0.6442951709200813
41,044,Gelves,10473,Sevilla,0.0,12.9,12.964,0.124169892898522,0.2153356569177149,0.784664343082285,0.3090909090909091,0.6909090909090909,1.0,0.6068687003389315,889.4952119373947,0.8894952119373948,0.914891755052502,0.639871170486814
45,099,Méntrida,6273,Toledo,0.0,9.8,12.422,0.005482239240399,0.1332020003030764,0.8667979996969236,0.1212121212121212,0.8787878787878787,1.0,0.6611266293706851,8431.98572601,8.43198572601,0.4303318720110018,0.636398619653576
11,041,Villamartín,12169,Cádiz,0.0,11.8,12.335,0.1720970978042784,0.1200181845734204,0.8799818154265795,0.2424242424242425,0.7575757575757576,1.0,0.6784100307869698,13613.266250418645,13.613266250418643,0.2563205100927581,0.6331861535697326
11,010,Bornos,7533,Cádiz,0.0,11.8,12.335,0.0410885353378359,0.1200181845734204,0.8799818154265795,0.2424242424242425,0.7575757575757576,1.0,0.6456578901703591,7037.69922617176,7.03769922617176,0.4947167400067769,0.6294856240814038
15,019,Carballo,31595,"Coruña, A",0.0,,15.319,0.7210557549382541,0.5722079102894381,0.4277920897105619,0.2424242424242425,0.7575757575757576,1.0,0.6121643184982559,3106.577202142626,3.106577202142626,0.7329647119433819,0.6251072177959478
41,087,Sanlúcar la Mayor,14375,Sevilla,0.0,12.9,12.964,0.2344363749399497,0.2153356569177149,0.784664343082285,0.3090909090909091,0.6909090909090909,1.0,0.6344353208492884,6451.183975048006,6.451183975048005,0.5246004270479517,0.6226672965134309
41,041,Estepa,12394,Sevilla,0.0,12.9,12.964,0.1784553649645349,0.2153356569177149,0.784664343082285,0.3090909090909091,0.6909090909090909,1.0,0.6204400683554347,4657.742326169813,4.657742326169813,0.6276489707181979,0.6212124507514449
41,096,Valencina de la Concepción,8080,Sevilla,0.0,12.9,12.964,0.0565461892785486,0.2153356569177149,0.784664343082285,0.3090909090909091,0.6909090909090909,1.0,0.5899627744339382,1321.8945734411627,1.321894573441163,0.8761749815686414,0.6206283680555134
41,067,Olivares,9504,Sevilla,0.0,12.9,12.964,0.0967869556616836,0.2153356569177149,0.784664343082285,0.3090909090909091,0.6909090909090909,1.0,0.6000229660297219,3130.8254066331424,3.1308254066331425,0.7311895572069701,0.6140765293701413
11,037,Trebujena,7015,Cádiz,0.0,11.8,12.335,0.0264503913866674,0.1200181845734204,0.8799818154265795,0.2424242424242425,0.7575757575757576,1.0,0.6419983541825671,9710.202072850672,9.710202072850672,0.3786964920383632,0.6137874403814022
41,094,Umbrete,9394,Sevilla,0.0,12.9,12.964,0.0936784694944471,0.2153356569177149,0.784664343082285,0.3090909090909091,0.6909090909090909,1.0,0.5992458444879127,3089.5165424258307,3.08951654242583,0.73421626540969,0.613706961015246
41,023,Cantillana,10728,Sevilla,0.0,12.9,12.964,0.1313759290134795,0.2153356569177149,0.784664343082285,0.3090909090909091,0.6909090909090909,1.0,0.6086702093676709,4457.5996050868,4.457599605086799,0.6403374598934807,0.6120631290668647
26,036,Calahorra,25064,"Rioja, La",0.0,,14.827,0.5364964534998728,0.4976511592665556,0.5023488407334444,0.2424242424242425,0.7575757575757576,1.0,0.5995750310989576,3369.2284792481187,3.369228479248118,0.7139639215760192,0.6118309836500713
41,098,Villanueva del Ariscal,6938,Sevilla,0.0,12.9,12.964,0.0242744510696018,0.2153356569177149,0.784664343082285,0.3090909090909091,0.6909090909090909,1.0,0.5818948398817014,1964.8745145074693,1.9648745145074693,0.8216116412647133,0.607578782887024
12,077,Moncofa,8011,Castellón/Castelló,0.0,8.5,14.029,0.0545963206827366,0.3767237460221246,0.6232762539778753,0.0424242424242424,0.9575757575757576,1.0,0.5835173338546675,2334.8235809530843,2.3348235809530844,0.7917715639755031,0.6058302870818997
16,134,Motilla del Palancar,6259,Cuenca,0.0,8.1,12.725,0.0050866137282052,0.1791180481891196,0.8208819518108804,0.0181818181818181,0.9818181818181818,1.0,0.666123077201493,23901.74268054344,23.90174268054344,0.0916137171420617,0.6045685029094109
12,011,Almenara,6710,Castellón/Castelló,0.0,8.5,14.029,0.0178314070138751,0.3767237460221246,0.6232762539778753,0.0424242424242424,0.9575757575757576,1.0,0.5743261054374522,1664.177258292079,1.6641772582920789,0.8466924749911667,0.6035082164610642
