Municipio,num_bancos,poblacion,renta
vilviestre del pinar,1,504.0,33.957
villadiego,4,1455.0,34.818
villafranca montes de oca,1,122.0,29.202
villafruela,1,143.0,24.19
villagonzalo pedernales,1,1882.0,44.253
villahoz,1,287.0,35.697
villaquirán de los infantes,2,138.0,40.924
valle de santibáñez,3,479.0,34.418
villarcayo de merindad de castilla la vieja,5,4047.0,29.215
valle de sedano,2,409.0,38.887
merindad de río ubierna,3,1411.0,40.971
alfoz de quintanadueñas,1,2133.0,40.765
valle de losa,2,496.0,25.584
acebo,2,576.0,20.851
ahigal,2,1349.0,21.135
alcántara,4,1347.0,29.405
alcuéscar,3,2454.0,24.599
aldeacentenera,2,593.0,25.116
aldeanueva de la vera,6,1997.0,23.429
aldeanueva del camino,1,704.0,24.325
alía,1,746.0,23.13
arroyo de la luz,5,5520.0,26.707
baños de montemayor,1,737.0,27.437
bohonal de ibor,1,503.0,23.41
brozas,1,1746.0,26.371
cabezuela del valle,2,2127.0,20.974
cáceres,49,96441.0,35.881
caminomorisco,2,1120.0,24.115
cañamero,5,1601.0,22.847
casar de cáceres,4,4477.0,29.536
casas del castañar,2,578.0,22.042
casas del monte,1,768.0,23.265
casatejada,1,1382.0,27.257
castañar de ibor,1,1032.0,21.289
cilleros,2,1555.0,21.318
coria,7,12114.0,27.805
cuacos de yuste,4,829.0,29.189
eljas,2,836.0,20.267
galisteo,1,835.0,24.183
garganta la olla,2,883.0,22.148
garrovillas de alconétar,1,1959.0,23.102
gata,1,1353.0,21.869
guadalupe,4,1752.0,24.891
hervás,4,3921.0,25.857
hinojal,1,388.0,25.697
hoyos,1,858.0,22.392
jaraicejo,1,436.0,25.092
jaraíz de la vera,9,6720.0,27.031
jarandilla de la vera,7,2845.0,27.457
jerte,1,1200.0,20.915
logrosán,6,1903.0,24.537
losar de la vera,3,2805.0,24.727
madrigalejo,3,1708.0,22.967
madroñera,3,2364.0,22.739
malpartida de cáceres,4,4030.0,31.808
malpartida de plasencia,6,4673.0,30.05
mata de alcántara,1,286.0,26.804
mirabel,2,632.0,24.448
monroy,1,884.0,22.735
montánchez,1,1608.0,24.955
montehermoso,6,5586.0,25.638
moraleja,2,6578.0,25.236
navaconcejo,4,2044.0,20.784
nuñomoral,1,1202.0,21.281
pasarón de la vera,1,592.0,27.11
pinofranqueado,1,1763.0,22.79
piornal,3,1454.0,21.734
plasencia,24,39829.0,31.781
pozuelo de zarzón,1,428.0,20.779
salorino,1,537.0,23.467
santibáñez el bajo,1,710.0,21.858
serradilla,2,1482.0,22.378
sierra de fuentes,2,2056.0,31.415
talaván,1,769.0,24.623
torre de don miguel,2,476.0,22.11
torrejoncillo,1,2765.0,25.05
torrejón el rubio,1,535.0,21.863
torreorgaz,2,1676.0,29.88
trujillo,8,8619.0,28.426
valdefuentes,1,1100.0,26.199
valdeobispo,1,610.0,24.917
valencia de alcántara,7,5196.0,25.922
valverde de la vera,1,448.0,23.699
valverde del fresno,5,2121.0,22.743
villamiel,1,379.0,21.876
villanueva de la sierra,1,493.0,21.514
villanueva de la vera,2,2110.0,23.897
alagón del río,1,909.0,27.73
algeciras,21,124978.0,34.017
algodonales,3,5443.0,24.194
arcos de la frontera,4,31046.0,27.513
barbate,9,22709.0,27.653
"barrios, los",5,24404.0,37.473
benaocaz,1,754.0,25.134
"bosque, el",1,2249.0,29.801
cádiz,46,110914.0,37.427
conil de la frontera,15,23996.0,30.014
chiclana de la frontera,22,89794.0,31.566
espera,2,3777.0,25.9
"gastor, el",2,1698.0,25.016
grazalema,3,1998.0,26.03
jerez de la frontera,26,213688.0,32.215
jimena de la frontera,3,6695.0,28.193
"línea de la concepción, la",13,64177.0,30.863
medina sidonia,4,11764.0,27.591
olvera,11,7864.0,27.339
paterna de rivera,2,5505.0,25.56
"puerto de santa maría, el",13,89960.0,35.87
puerto real,5,42151.0,33.827
rota,10,29552.0,32.841
san fernando,17,93645.0,34.258
sanlúcar de barrameda,9,69876.0,27.874
san roque,18,34190.0,38.428
setenil de las bodegas,2,2624.0,25.55
tarifa,22,18664.0,33.275
