id,amenity,atm,brand,name,coordinates
node/298173255,bank,yes,Caixabank,Caixabank,"[-3.6685636, 40.5093221]"
node/298392718,bank,,Caixabank,Caixabank,"[-3.6941024, 40.482921]"
node/298392721,bank,yes,Caixabank,Caixabank,"[-3.6936288, 40.4821281]"
node/298559547,atm,,,,"[-16.7346393, 28.090291]"
way/299426987,bank,,,,"[0.7354889, 40.7173205]"
node/299842124,bank,yes,Banco Santander,Banco Santander,"[-3.6507341, 40.4891568]"
node/300087122,atm,,Barclays,Barclays,"[-0.4246659, 38.3673745]"
node/300087124,bank,,Barclays,Barclays,"[-0.4246527, 38.3673763]"
node/300751452,bank,,Deutsche Bank,Deutsche Bank,"[-3.688959, 40.4287953]"
node/300990872,bank,,Caixabank,Caixabank,"[-4.07318, 40.7158846]"
node/301612427,bank,yes,Caixabank,Caixabank,"[-3.6902822, 40.5025211]"
way/302046524,bank,,Abanca,Abanca,"[-8.7804454, 42.1939206]"
node/302494042,bank,yes,BBVA,BBVA,"[-3.6766525, 40.5038969]"
node/302786456,bank,yes,Caixabank,Caixabank,"[-3.7024871, 40.4431041]"
node/302786461,bank,yes,Banco Santander,Banco Santander,"[-3.7034754, 40.4472931]"
node/302786463,bank,yes,Caixabank,Caixabank,"[-3.7036639, 40.4474345]"
node/302789136,bank,yes,Ibercaja,Ibercaja,"[-3.703164, 40.4505763]"
node/302790322,bank,yes,Banco Santander,Banco Santander,"[-3.7014489, 40.4571236]"
node/302793063,bank,yes,Banco Santander,Banco Santander,"[-3.6976393, 40.4617981]"
node/302793093,bank,yes,Caixabank,Caixabank,"[-3.6965007, 40.4637031]"
node/302797153,bank,yes,Banco Santander,Banco Santander,"[-3.6979381, 40.470752]"
node/302797644,bank,yes,Caixabank,Caixabank,"[-3.6904236, 40.4660692]"
node/303256001,bank,,Ibercaja,Ibercaja,"[-3.6751661, 40.499659]"
node/303618624,bank,yes,Banco Santander,Banco Santander,"[-5.9732854, 37.3834374]"
node/303618647,bank,yes,Bankinter,Bankinter,"[-5.972212, 37.3861094]"
node/303618664,atm,,,Cajasol,"[-5.9741448, 37.3895127]"
node/303618668,bank,yes,Unicaja Banco,Unicaja Banco,"[-5.9730986, 37.3874144]"
node/303618674,bank,,Caixabank,Caixabank,"[-5.9736055, 37.3871171]"
node/303816120,bank,yes,BBVA,BBVA,"[-3.6649438, 40.4818911]"
node/303816129,bank,yes,Caixabank,Caixabank,"[-3.6646423, 40.4828568]"
node/303816132,bank,yes,Banco Santander,Banco Santander,"[-3.6653697, 40.481217]"
way/304513249,bank,,Caixabank,Caixabank,"[-17.9812384, 27.7026941]"
node/304571596,bank,,,,"[-3.8848805, 36.744844]"
node/304571659,bank,,Cajamar,Cajamar,"[-3.8790473, 36.7478083]"
node/304571829,bank,,Unicaja Banco,Unicaja Banco,"[-3.8788844, 36.7486913]"
node/305294096,bank,yes,,Banco de Andalucía,"[-3.7047775, 40.3040613]"
way/305424587,bank,yes,Caixabank,Caixabank,"[-4.0162708, 40.7287584]"
node/305663381,bank,yes,Caixabank,Caixabank,"[-3.5798895, 40.4713807]"
way/306692817,bank,yes,CatalunyaCaixa,CatalunyaCaixa,"[2.1760873, 41.385463]"
node/307844904,bank,,Caixabank,Caixabank,"[-3.8775914, 36.7449605]"
node/307951442,bank,yes,Unicaja Banco,Unicaja Banco,"[-3.8946859, 36.7908898]"
node/308905282,bank,,BBVA,BBVA,"[-3.633975, 40.4744603]"
node/308926223,bank,yes,Caixabank,Caixabank,"[-3.5319913, 40.5047945]"
node/308926224,bank,yes,BBVA,BBVA,"[-3.531815, 40.5045468]"
node/308970902,atm,,,Caja Rural,"[-5.997076, 37.396966]"
way/309139800,bank,,,Cajasol,"[-5.9937527, 37.3890244]"
node/309159718,bank,,Banco Santander,Banco Santander,"[-3.7833484, 43.158204]"
way/309630637,bank,,,Caja Granada,"[-3.528148, 37.3923513]"
way/309630639,bank,,Caja Rural,Caja Rural,"[-3.5277213, 37.3924703]"
way/309630640,bank,,Caixabank,Caixabank,"[-3.5272385, 37.3926821]"
node/309748723,atm,,,Banco Popular,"[-16.6115488, 28.0505879]"
node/309748725,atm,,CajaCanaria,,"[-16.6115758, 28.0508348]"
node/309748726,atm,,,Solbank,"[-16.6115791, 28.050739]"
node/309762105,bank,yes,Caixabank,Caixabank,"[-3.4728845, 40.4533348]"
node/309863929,bank,yes,,,"[-3.8764587, 36.7473527]"
node/311258813,bank,yes,BBVA,BBVA,"[-3.8783627, 36.7454173]"
node/312544496,atm,,,4B,"[-16.7295375, 28.0622216]"
node/312547657,bank,yes,Banco Santander,Banco Santander,"[-16.7309394, 28.0619277]"
node/313030657,bank,,Kutxabank,Kutxabank,"[-1.7989975, 42.3389568]"
node/313038382,atm,,Banco Santander,Santander,"[-16.5391229, 28.0450151]"
node/313776408,bank,yes,Banca March,Banca March,"[-16.7310612, 28.0734627]"
node/314569493,bank,yes,Banco Santander,Banco Santander,"[-0.513088, 38.3820337]"
node/314569966,bank,yes,Banco Sabadell,Banco Sabadell,"[-0.5130365, 38.3819194]"
node/314571794,bank,yes,Banco Santander,Banco Santander,"[-0.5094589, 38.3865177]"
node/314573438,bank,yes,Banco Sabadell,Banco Sabadell,"[-0.5048617, 38.3906857]"
node/315394505,bank,yes,BBVA,BBVA,"[-17.3356479, 28.0881158]"
node/315403805,atm,,Caja Rural,Caja Rural,"[-17.3390388, 28.0883046]"
node/317661776,atm,,,,"[2.7435899, 39.518782]"
node/317661779,atm,,,,"[2.7386094, 39.5235833]"
node/317661781,atm,,Targobank,,"[2.7358001, 39.5246103]"
node/318421711,bank,yes,Cajamar,Cajamar,"[-17.1097521, 28.090976]"
node/318421750,atm,,Banco Santander,Banco Santander,"[-17.1105891, 28.0911943]"
way/318703580,bank,,Banco Sabadell,Banco Sabadell,"[-3.6835718, 40.4270939]"
node/319254100,bank,yes,Caixabank,Caixabank,"[-17.3355835, 28.0949534]"
node/319458785,bank,yes,Caixabank,Caixabank,"[-13.8697456, 28.7328409]"
node/319537318,bank,,,Solbank,"[-13.8691849, 28.7359613]"
node/319537323,bank,,,CajaCanarias,"[-13.868425, 28.7367863]"
node/319537326,bank,yes,Banco Santander,Banco Santander,"[-13.8684102, 28.7370562]"
node/319537328,bank,,Banca March,Banca March,"[-13.8685713, 28.7374871]"
node/319563721,bank,yes,Caixabank,Caixabank,"[-17.1976163, 28.1652117]"
node/319824058,bank,,Caixabank,Caixabank,"[-14.0099945, 28.682393]"
node/321433103,bank,,,La Caja Empresas,"[-13.8676655, 28.7408285]"
node/322076456,bank,yes,Ibercaja,Ibercaja,"[-0.0365762, 39.9898543]"
way/322589807,bank,yes,,Caja Granada,"[-4.9897406, 36.4822676]"
way/322589809,bank,yes,BBVA,BBVA,"[-4.9895312, 36.4824779]"
way/322589811,bank,yes,Banco Santander,Banco Santander,"[-4.9895965, 36.4827555]"
way/322951392,bank,yes,Caja Rural,Caja Rural,"[-4.2727837, 39.6997111]"
node/323135068,bank,yes,,Caja Canarias,"[-17.2815644, 28.1098688]"
node/324081826,bank,,Caixabank,Caixabank,"[-3.8569656, 40.3309253]"
node/324083626,atm,,,,"[-3.8571275, 40.3309434]"
node/324407645,bank,yes,Banco Santander,Banco Santander,"[-3.6427557, 40.435548]"
node/324523863,bank,yes,Caixabank,Caixabank,"[-3.8664173, 40.3292237]"
node/325067630,bank,yes,BBVA,BBVA,"[-3.6448355, 40.4396966]"
node/325067632,bank,yes,Banco Santander,Banco Santander,"[-3.6434166, 40.4406377]"
way/326958777,bank,yes,Caixabank,Caixabank,"[-3.8962167, 40.4051889]"
node/327547781,bank,,Banco Santander,Banco Santander,"[-3.6627692, 40.4407574]"
