Municipios,Total
Cristina,22.489
Cheles,23.413
Don Álvaro,29.007
Don Benito,31.961
Entrín Bajo,22.713
Esparragalejo,27.567
Esparragosa de la Serena,24.12
Esparragosa de Lares,25.683
Feria,23.277
Fregenal de la Sierra,28.336
Fuenlabrada de los Montes,21.835
Fuente de Cantos,28.941
Fuente del Arco,22.254
Fuente del Maestre,25.601
Fuentes de León,21.701
Garbayuela,22.322
Garlitos,21.63
"Garrovilla, La",27.187
Granja de Torrehermosa,23.594
Guareña,26.818
"Haba, La",23.931
Helechosa de los Montes,26.559
Herrera del Duque,25.913
Higuera de la Serena,21.775
Higuera de Llerena,20.503
Higuera de Vargas,22.731
Higuera la Real,25.474
Hinojosa del Valle,22.233
Hornachos,23.379
Jerez de los Caballeros,29.933
"Lapa, La",20.197
Lobón,25.577
Llera,21.569
Llerena,31.102
Magacela,22.772
Maguilla,19.901
Malcocinado,19.19
Malpartida de la Serena,24.277
Manchita,25.772
Medellín,28.273
Medina de las Torres,24.565
Mengabril,27.55
Mérida,33.233
Mirandilla,28.029
Monesterio,27.147
Montemolín,22.367
Monterrubio de la Serena,22.462
Montijo,26.891
"Morera, La",24.395
"Nava de Santiago, La",22.017
Navalvillar de Pela,25.046
Nogales,23.938
Oliva de la Frontera,24.093
Oliva de Mérida,22.725
Olivenza,27.142
Orellana de la Sierra,25.183
Orellana la Vieja,28.086
Palomas,22.906
"Parra, La",22.808
Peñalsordo,22.864
Peraleda del Zaucejo,20.019
Puebla de Alcocer,23.889
Puebla de la Calzada,28.554
Puebla de la Reina,22.999
Puebla del Maestre,22.723
Puebla del Prior,22.897
Puebla de Obando,22.704
Puebla de Sancho Pérez,26.323
Quintana de la Serena,27.08
Reina,21.192
Rena,23.715
Retamal de Llerena,20.256
Ribera del Fresno,24.356
Risco,21.209
"Roca de la Sierra, La",24.308
Salvaleón,23.37
Salvatierra de los Barros,23.044
Sancti-Spíritus,23.006
San Pedro de Mérida,29.763
Santa Amalia,28.169
Santa Marta,24.387
"Santos de Maimona, Los",28.154
San Vicente de Alcántara,25.996
Segura de León,23.231
Siruela,24.676
Solana de los Barros,23.269
Talarrubias,27.286
Talavera la Real,28.639
Táliga,23.077
Tamurejo,21.945
Torre de Miguel Sesmero,26.488
Torremayor,24.368
Torremejía,24.141
Trasierra,22.618
Trujillanos,29.923
Usagre,25.044
Valdecaballeros,25.446
Valdetorres,24.259
Valencia de las Torres,21.959
Valencia del Mombuey,20.763
Valencia del Ventoso,22.571
Valverde de Burguillos,25.653
Valverde de Leganés,26.536
Valverde de Llerena,22.352
Valverde de Mérida,24.843
Valle de la Serena,21.19
Valle de Matamoros,21.758
Valle de Santa Ana,25.832
Villafranca de los Barros,28.89
Villagarcía de la Torre,22.571
Villagonzalo,26.044
Villalba de los Barros,24.328
Villanueva de la Serena,30.199
Villanueva del Fresno,24.944
Villar del Rey,23.697
Villar de Rena,27.011
Villarta de los Montes,19.841
Zafra,32.407
Zahínos,20.935
Zalamea de la Serena,23.507
Zarza-Capilla,24.108
"Zarza, La",25.447
Valdelacalzada,27.053
Pueblonuevo del Guadiana,27.638
Guadiana,27.285
Alaró,44.449
Alaior,40.338
Alcúdia,41.283
Algaida,42.19
Andratx,42.097
Artà,41.386
Banyalbufar,40.906
Binissalem,46.675
Búger,41.094
Bunyola,55.338
Calvià,44.188
Campanet,42.724
Campos,39.773
Capdepera,37.212
Ciutadella de Menorca,41.259
Consell,44.351
Costitx,39.26
Deià,47.387
Escorca,48.398
Esporles,54.735
Estellencs,38.83
Felanitx,39.826
Ferreries,41.539
Formentera,52.443
Fornalutx,50.421
Eivissa,50.627
Inca,38.492
Lloret de Vistalegre,40.665
Lloseta,39.782
Llubí,41.605
Llucmajor,43.71
Maó,43.139
Manacor,39.747
Mancor de la Vall,45.345
Maria de la Salut,39.53
Marratxí,53.89
"Mercadal, Es",48.1
Montuïri,42.191
Muro,41.525
Palma,45.745
Petra,40.458
Pollença,44.636
Porreres,40.389
"Pobla, Sa",40.401
Puigpunyent,52.078
Sant Antoni de Portmany,47.198
Sencelles,44.008
Sant Josep de sa Talaia,50.156
Sant Joan,38.272
Sant Joan de Labritja,47.609
Sant Llorenç des Cardassar,39.264
Sant Lluís,50.91
Santa Eugènia,47.424
Santa Eulària des Riu,49.17
Santa Margalida,39.971
Santa María del Camí,48.377
Santanyí,39.664
Selva,41.202
"Salines, Ses",39.295
Sineu,40.198
Sóller,46.553
Son Servera,39.761
Valldemossa,55.268
"Castell, Es",40.941
Vilafranca de Bonany,38.232
Ariany,40.358
"Migjorn Gran, Es",46.13
Abrera,45.01
Aguilar de Segarra,52.124
Alella,72.328
Alpens,42.673
"Ametlla del Vallès, L'",62.74
Arenys de Mar,41.502
Arenys de Munt,43.767
Argençola,42.456
Argentona,50.252
Artés,40.915
Avià,42.136
Avinyó,41.303
Avinyonet del Penedès,41.527
Aiguafreda,43.125
Badalona,38.955
Bagà,39.005
Balenyà,38.415
Balsareny,39.244
Barcelona,47.361
Begues,63.381
Bellprat,
Berga,37.173
Bigues i Riells del Fai,47.951
Borredà,35.622
"Bruc, El",44.021
"Brull, El",64.803
"Cabanyes, Les",54.368
Cabrera d'Anoia,34.333
Cabrera de Mar,64.127
Cabrils,72.705
Calaf,35.779
Caldes d'Estrac,46.682
Caldes de Montbui,46.606
Calders,46.417
Calella,34.872
Calonge de Segarra,47.542
Calldetenes,46.702
Callús,38.214
Campins,50.862
Canet de Mar,39.506
Canovelles,38.648
Cànoves i Samalús,47.718
Canyelles,43.138
Capellades,38.984
Capolat,38.68
Cardedeu,48.018
Cardona,38.192
Carme,40.704
Casserres,36.487
Castellar del Riu,42.738
Castellar del Vallès,47.263
Castellar de n'Hug,39.771
Castellbell i el Vilar,37.495
Castellbisbal,48.579
Castellcir,44.515
Castelldefels,51.814
Castell de l'Areny,38.68
Castellet i la Gornal,37.603
Castellfollit del Boix,49.157
Castellfollit de Riubregós,34.53
Castellgalí,43.529
Castellnou de Bages,51.578
Castellolí,53.863
Castellterçol,39.606
Castellví de la Marca,42.621
Castellví de Rosanes,55.458
Centelles,40.568
Cervelló,51.958
Collbató,57.999
Collsuspina,44.119
Copons,43.134
Corbera de Llobregat,50.877
Cornellà de Llobregat,38.322
Cubelles,39.572
Dosrius,47.426
Esparreguera,41.955
Esplugues de Llobregat,47.034
"Espunyola, L'",46.404
"Estany, L'",40.749
Fígols,38.68
Fogars de Montclús,46.537
Fogars de la Selva,39.785
Folgueroles,52.013
Fonollosa,46.788
Font-rubí,43.902
"Franqueses del Vallès, Les",42.688
Gallifa,56.837
"Garriga, La",48.544
Gavà,45.669
Gaià,46.768
Gelida,42.081
Gironella,36.881
Gisclareny,38.68
"Granada, La",44.787
Granera,
Granollers,42.757
Gualba,46.01
Sant Salvador de Guardiola,44.959
Guardiola de Berguedà,32.463
Gurb,73.732
"Hospitalet de Llobregat, L'",36.526
Igualada,40.56
Jorba,42.873
"Llacuna, La",39.0
"Llagosta, La",36.148
Llinars del Vallès,45.776
Lliçà d'Amunt,49.141
Lliçà de Vall,46.18
Lluçà,39.606
Malgrat de Mar,36.135
Malla,70.306
Manlleu,38.909
Manresa,37.68
Martorell,42.058
Martorelles,44.4
"Masies de Roda, Les",47.794
"Masies de Voltregà, Les",45.839
"Masnou, El",49.645
Masquefa,42.794
Matadepera,85.692
Mataró,38.499
Mediona,34.999
Molins de Rei,47.436
Mollet del Vallès,39.648
Montcada i Reixac,39.356
Montgat,46.935
Monistrol de Montserrat,35.807
Monistrol de Calders,36.369
Muntanyola,52.416
Montclar,41.218
Montesquiu,33.568
Montmajor,39.683
Montmaneu,45.956
Figaró-Montmany,38.317
Montmeló,41.588
Montornès del Vallès,41.298
Montseny,46.81
Moià,40.791
Mura,39.581
Navarcles,41.189
Navàs,38.996
"Nou de Berguedà, La",44.731
Òdena,40.825
Olvan,36.827
Olèrdola,47.132
Olesa de Bonesvalls,44.244
Olesa de Montserrat,42.035
Olivella,45.0
Olost,45.11
Orís,55.365
Oristà,45.523
Orpí,44.45
Òrrius,47.709
Pacs del Penedès,64.813
Palafolls,37.689
Palau-solità i Plegamans,50.431
Pallejà,50.046
"Papiol, El",45.986
Parets del Vallès,45.927
Perafita,43.368
Piera,39.233
"Hostalets de Pierola, Els",42.109
Pineda de Mar,34.538
"Pla del Penedès, El",36.446
"Pobla de Claramunt, La",43.048
"Pobla de Lillet, La",34.787
Polinyà,44.221
Pontons,30.439
"Prat de Llobregat, El",41.138
"Prats de Rei, Els",38.604
Prats de Lluçanès,41.607
Premià de Mar,42.499
Puigdàlber,43.758
Puig-reig,37.076
Pujalt,48.766
"Quar, La",38.68
Rajadell,54.313
Rellinars,43.117
Ripollet,37.926
"Roca del Vallès, La",50.856
"Pont de Vilomara i Rocafort, El",38.625
Roda de Ter,40.553
Rubí,40.881
Rubió,51.201
Sabadell,40.323
Sagàs,62.129
Sant Pere Sallavinera,54.316
Saldes,40.271
Sallent,38.301
Santpedor,47.067
Sant Iscle de Vallalta,42.92
Sant Adrià de Besòs,36.148
Sant Agustí de Lluçanès,44.9
Sant Andreu de la Barca,41.76
Sant Andreu de Llavaneres,54.39
Sant Antoni de Vilamajor,48.62
Sant Bartomeu del Grau,42.158
Sant Boi de Llobregat,40.324
Sant Boi de Lluçanès,39.657
Sant Celoni,41.656
Sant Cebrià de Vallalta,41.577
Sant Climent de Llobregat,49.754
Sant Cugat del Vallès,74.951
Sant Cugat Sesgarrigues,48.642
Sant Esteve de Palautordera,51.151
Sant Esteve Sesrovires,53.283
Sant Fost de Campsentelles,53.018
Sant Feliu de Codines,41.251
Sant Feliu de Llobregat,46.453
Sant Feliu Sasserra,42.196
Sant Fruitós de Bages,48.609
Vilassar de Dalt,51.896
Sant Hipòlit de Voltregà,42.229
Sant Jaume de Frontanyà,38.68
Sant Joan Despí,48.757
Sant Joan de Vilatorrada,40.662
Vilassar de Mar,51.548
Sant Julià de Vilatorta,58.046
Sant Just Desvern,67.583
Sant Llorenç d'Hortons,44.716
